Author,Timestamp,Likes,Total_Replies,Comment_Content
@385Nic,1:21:02,1,0,1:21:02 it’s crazy how the cartilage grew back. And how he changed the subject really quick.
@arthurcruz6980,2:20:40,2,0,2:20:40 how this aged so well lol
@adrianocnuladasilva32,1:45,0,0,1:45
@adrianocnuladasilva32,1:42,0,0,1:42
@bottomlesshippopotamus5923,1:04:52,0,0,1:04:52 take the forest.... Like God intended.
@bottomlesshippopotamus5923,1:04:01,0,0,1:04:01 more stupid lies from the so called pres
@bottomlesshippopotamus5923,37:42,1,2,"37:42 more lies, cops in general do not lose their house or even their pension, EVEN WHEN THEY SHOULD!"
@bottomlesshippopotamus5923,36:36,0,0,Trump 36:36 lies about if cops could draw their guns... Totally full of shit absolutely lies.
@AVGWEENER,58:40,1,1,58:40 as a San Franciscan seeing the streets cleaned up and homeless people essentially relocated for APEC was infuriating
@adrianocnuladasilva32,1:38,0,0,1:38
@adrianocnuladasilva32,1:35,0,0,1:35
@PeelerG20,3:47,0,6,"3:47 in and already several lies from Joe and Donald. I can’t believe you all swallow up this bullshit. For the record, The Dems and Republicans are all the same bullshit."
@adrianocnuladasilva32,1:30,0,0,1:30
@adrianocnuladasilva32,1:27,0,0,1:27
@GOSTDatingandLifestyle,22:42,2,0,22:42 John Bolton is an idiot
@Njake1390,20:15,1,1,Cool. I stopped listening 20:15. Thank you President Trump and Joe Rogan
@lostangeleschronicles,2:05,1,5,"2:05 Trump is healthy? He is obese, I wouldn't say he's healthy. I also suspect him of using cocaine."
@adrianocnuladasilva32,1:24,0,0,1:24
@adrianocnuladasilva32,1:20,0,0,1:20
@adrianocnuladasilva32,1:19,0,0,1:19
@annaschamber252,31:42,0,0,@31:42 end up in the wilderness 😂
@adrianocnuladasilva32,1:16,1,0,1:16
@adrianocnuladasilva32,1:13,1,0,1:13
@sukhrobkudratov,10:54,0,0,is he talking about khabib? 10:54
@may-nu2lv,35:13,0,0,😂😂😂 35:13
@GMAbhigya,27:58,0,0,27:58
@GMAbhigya,22:05,0,0,22:05
@GMAbhigya,2:37,0,0,2:37
@adrianocnuladasilva32,01:04,0,0,01:04
@adrianocnuladasilva32,1:00,1,0,1:00
@adrianocnuladasilva32,0:46,0,0,0:46
@adrianocnuladasilva32,0:41,0,0,0:41
@liamhenderson3753,32:21,0,0,"32:21 haha, legit"
